job_id,job_title,company,sector,location,country,remote_type,experience_level,salary_usd_annual,required_skills,primary_llm_mentioned,education_required,date_posted,job_description_length,applies_count,visa_sponsorship,years_experience_min,company_size,is_contract,has_equity
AIJOB00062,AI Research Scientist,Snowflake,Education,"Boston, MA",MA,Hybrid,Entry (0-2 yrs),67660,"GCP Vertex AI, Python, Hugging Face Transformers, Docker, PyTorch, LlamaIndex, Fine-tuning",Claude,PhD,2024-05-01,2402,2441,Yes,0,5000+,Full-time,No
AIJOB00063,Foundation Model Engineer,Snowflake,Education,"Bangalore, India",India,Hybrid,Senior (5-8 yrs),120128,"Vector Databases, CUDA, RAG",Claude,Bachelor's,2024-01-16,630,1329,No,4,1-50,Full-time,No
AIJOB00064,AI Safety Researcher,Meta AI,Energy,"Chicago, IL",IL,On-site,Senior (5-8 yrs),117702,"RLHF, Pinecone, SQL, Fine-tuning, LangChain",None,PhD,2024-09-28,1180,1771,No,4,51-200,Full-time,No
AIJOB00065,Deep Learning Engineer,Anthropic,Media,"London, UK",UK,Remote,Staff/Principal (8+ yrs),229250,"Azure ML, LlamaIndex, dbt, Vector Databases, TensorFlow",Claude,Bachelor's,2024-06-09,1826,3335,Yes,6,1-50,Full-time,No
AIJOB00066,AI Product Manager,IBM Watson,Retail,"Los Angeles, CA",CA,Remote,Entry (0-2 yrs),87088,"CUDA, Weights & Biases, PyTorch, AWS SageMaker, SQL, Rust",Grok,Bachelor's,2024-12-06,2275,928,No,0,201-1000,Contract,Yes
AIJOB00067,Computer Vision Engineer,Hugging Face,Tech,"Los Angeles, CA",CA,On-site,Mid (2-5 yrs),108574,"SQL, dbt, Spark, Weaviate, Python, JAX, CUDA",None,Bachelor's,2025-01-27,1565,3784,No,2,1-50,Full-time,Yes
AIJOB00068,Deep Learning Engineer,Mistral AI,Healthcare,"Berlin, Germany",Germany,Hybrid,Entry (0-2 yrs),82644,"Weights & Biases, Pinecone, OpenAI API",Command R,Master's,2024-01-16,1628,3191,Maybe,0,5000+,Full-time,Yes
AIJOB00069,Data Scientist (AI/ML),Meta AI,Government,"Seattle, WA",WA,Remote,Entry (0-2 yrs),74556,"Vector Databases, SQL, RLHF, Fine-tuning, Docker, OpenAI API",None,Master's,2024-12-04,1460,2787,No,0,1001-5000,Full-time,Yes
AIJOB00070,GenAI Developer,Snowflake,Media,"Tokyo, Japan",Japan,Remote,Staff/Principal (8+ yrs),176775,"OpenAI API, FastAPI, LlamaIndex, Docker, AWS SageMaker",GPT-4,Bachelor's,2024-04-14,1857,2191,No,6,5000+,Full-time,No
AIJOB00071,AI Solutions Architect,Cohere,Finance,"Chicago, IL",IL,On-site,Entry (0-2 yrs),74553,"Python, RLHF, TensorFlow, GCP Vertex AI, ChromaDB, Fine-tuning",BLOOM,Master's,2024-01-22,1630,713,No,0,5000+,Full-time,No
AIJOB00072,AI Solutions Architect,Nvidia,Government,"Los Angeles, CA",CA,On-site,Entry (0-2 yrs),89379,"ChromaDB, RAG, Pinecone, TensorFlow, CUDA, AWS SageMaker",None,PhD,2024-05-04,612,2100,No,0,5000+,Full-time,No
AIJOB00073,AI Solutions Architect,Anthropic,Healthcare,"Berlin, Germany",Germany,Remote,Senior (5-8 yrs),149032,"OpenAI API, Hugging Face Transformers, SQL, LlamaIndex, FastAPI",None,Bootcamp/Self-taught,2024-03-15,2323,1910,No,4,5000+,Full-time,No
AIJOB00074,AI Safety Researcher,Anthropic,Automotive,"Austin, TX",TX,Remote,Senior (5-8 yrs),192245,"RLHF, Spark, AWS SageMaker, Rust, Docker, ChromaDB",Phi,Master's,2024-02-04,454,243,No,4,201-1000,Full-time,No
AIJOB00075,LLM Engineer,Mistral AI,Defense,"Bangalore, India",India,Hybrid,Staff/Principal (8+ yrs),105689,"RLHF, Rust, ChromaDB",None,Master's,2025-02-09,917,3932,Yes,6,1-50,Contract,No
AIJOB00076,LLM Engineer,Scale AI,Media,"New York, NY",NY,Remote,Mid (2-5 yrs),126273,"Pinecone, JAX, SQL, Hugging Face Transformers, Azure ML, FastAPI",None,PhD,2024-08-12,514,3242,No,2,201-1000,Full-time,Yes
AIJOB00077,Deep Learning Engineer,Cohere,Media,"Amsterdam, Netherlands",Netherlands,Hybrid,Senior (5-8 yrs),152350,"CUDA, LlamaIndex, GCP Vertex AI, TensorFlow, ChromaDB, dbt, JAX",None,Bachelor's,2024-12-02,647,1278,No,4,201-1000,Contract,No
AIJOB00078,Foundation Model Engineer,Microsoft AI,Healthcare,"Los Angeles, CA",CA,Hybrid,Entry (0-2 yrs),66232,"AWS SageMaker, Hugging Face Transformers, OpenAI API, GCP Vertex AI, FastAPI",Llama,Bachelor's,2024-01-10,714,2089,No,0,5000+,Full-time,Yes
AIJOB00079,AI Platform Engineer,Amazon AWS AI,Education,"Tokyo, Japan",Japan,Remote,Mid (2-5 yrs),111816,"C++, MLflow, FastAPI, SQL",None,Bachelor's,2024-03-24,1792,2780,No,2,1001-5000,Full-time,No
AIJOB00080,Reinforcement Learning Engineer,DataBricks,Automotive,"Stockholm, Sweden",Sweden,Remote,Mid (2-5 yrs),70646,"JAX, C++, OpenAI API, Azure ML, dbt, ChromaDB",None,PhD,2025-02-18,2359,2170,No,2,51-200,Contract,No
AIJOB00081,AI Research Scientist,Cohere,Finance,"New York, NY",NY,Hybrid,Senior (5-8 yrs),144068,"Weaviate, LangChain, MLflow, CUDA, Pinecone",None,PhD,2025-03-23,1417,1850,Maybe,4,51-200,Contract,Yes
AIJOB00082,GenAI Developer,Stability AI,Retail,"Boston, MA",MA,On-site,Staff/Principal (8+ yrs),212856,"RAG, Pinecone, Azure ML",Claude,Bachelor's,2024-07-31,705,3447,No,6,201-1000,Contract,Yes
AIJOB00083,NLP Engineer,Salesforce Einstein,Defense,"Berlin, Germany",Germany,Hybrid,Staff/Principal (8+ yrs),253204,"SQL, Python, TensorFlow, CUDA, Docker, OpenAI API",None,Master's,2024-08-28,755,3189,No,6,201-1000,Full-time,Yes
AIJOB00084,AI Platform Engineer,Google DeepMind,Defense,"Seattle, WA",WA,Remote,Staff/Principal (8+ yrs),181342,"Weaviate, Python, Spark, Pinecone, ChromaDB, Kubernetes, MLflow",BLOOM,Master's,2024-09-12,2006,777,No,6,1-50,Full-time,Yes
AIJOB00085,Foundation Model Engineer,Accenture AI,Defense,"Chicago, IL",IL,On-site,Entry (0-2 yrs),59812,"Azure ML, Docker, Weights & Biases, Python, JAX, TensorFlow",Claude,PhD,2024-01-23,1661,556,Yes,0,5000+,Full-time,No
AIJOB00086,Reinforcement Learning Engineer,IBM Watson,Media,"Toronto, Canada",Canada,On-site,Staff/Principal (8+ yrs),181936,"PyTorch, AWS SageMaker, OpenAI API, JAX, C++, Rust",Mistral,Bootcamp/Self-taught,2024-02-02,2239,1047,Yes,6,51-200,Full-time,No
AIJOB00087,ML Engineer,Snowflake,Education,"Amsterdam, Netherlands",Netherlands,Remote,Senior (5-8 yrs),174715,"JAX, RAG, Weights & Biases, RLHF, CUDA, GCP Vertex AI",None,Master's,2024-07-07,2426,1102,No,4,1001-5000,Full-time,No
AIJOB00088,Data Scientist (AI/ML),Stability AI,Education,"Austin, TX",TX,Remote,Senior (5-8 yrs),158876,"AWS SageMaker, RLHF, SQL, MLflow, Fine-tuning",Command R,Bachelor's,2024-06-16,1744,2528,Maybe,4,201-1000,Full-time,No
AIJOB00089,ML Engineer,DataBricks,Tech,"Chicago, IL",IL,Remote,Entry (0-2 yrs),63325,"Python, LlamaIndex, CUDA, SQL",None,Bachelor's,2025-02-14,1266,3198,No,0,201-1000,Full-time,No
AIJOB00090,AI Platform Engineer,Nvidia,Finance,"Bangalore, India",India,On-site,Mid (2-5 yrs),120162,"FastAPI, TensorFlow, ChromaDB, LlamaIndex, Pinecone, Azure ML",Mistral,Bachelor's,2024-07-09,1062,2054,No,2,5000+,Full-time,No
AIJOB00091,Reinforcement Learning Engineer,Anthropic,Government,"Tokyo, Japan",Japan,Remote,Mid (2-5 yrs),111922,"LangChain, LlamaIndex, CUDA, TensorFlow",Command R,Master's,2024-09-08,565,2262,No,2,201-1000,Contract,No
AIJOB00092,Data Scientist (AI/ML),Stability AI,Education,"Dublin, Ireland",Ireland,Remote,Senior (5-8 yrs),176153,"Kubernetes, Rust, Vector Databases, Python",Grok,PhD,2024-04-12,831,2516,Maybe,4,1-50,Full-time,No
AIJOB00093,AI Infrastructure Engineer,Stability AI,Healthcare,"Los Angeles, CA",CA,On-site,Staff/Principal (8+ yrs),174726,"GCP Vertex AI, Spark, TensorFlow, RLHF",Phi,PhD,2024-02-07,1045,3154,Maybe,6,1001-5000,Full-time,No
AIJOB00094,Prompt Engineer,Hugging Face,Retail,"Sydney, Australia",Australia,Remote,Mid (2-5 yrs),103512,"Azure ML, Pinecone, JAX, AWS SageMaker",None,Master's,2024-06-14,1424,522,No,2,5000+,Full-time,No
AIJOB00095,Data Scientist (AI/ML),Accenture AI,Defense,"Toronto, Canada",Canada,Hybrid,Mid (2-5 yrs),102236,"GCP Vertex AI, C++, ChromaDB, PyTorch, Python, TensorFlow, Rust",None,Bachelor's,2025-01-03,1163,3151,No,2,5000+,Full-time,No
AIJOB00096,RAG Engineer,DataBricks,Retail,"Sydney, Australia",Australia,Hybrid,Senior (5-8 yrs),110485,"AWS SageMaker, RLHF, TensorFlow, MLflow, PyTorch, Hugging Face Transformers",Command R,Master's,2025-02-16,888,1290,Maybe,4,201-1000,Contract,No
AIJOB00097,Deep Learning Engineer,Scale AI,Defense,"Boston, MA",MA,Hybrid,Mid (2-5 yrs),115863,"Kubernetes, RLHF, LangChain, Docker, LlamaIndex",Mistral,Master's,2024-02-24,954,3342,No,2,5000+,Contract,Yes
AIJOB00098,Data Scientist (AI/ML),Apple ML,Defense,"Dublin, Ireland",Ireland,Hybrid,Staff/Principal (8+ yrs),209397,"Vector Databases, Python, TensorFlow, RAG, Pinecone",Llama,Master's,2025-03-26,507,1162,No,6,1001-5000,Full-time,Yes
AIJOB00099,Prompt Engineer,Salesforce Einstein,Automotive,"Berlin, Germany",Germany,On-site,Staff/Principal (8+ yrs),200184,"FastAPI, RAG, Azure ML, PyTorch, ChromaDB",Falcon,Bachelor's,2025-01-07,2365,1854,No,6,201-1000,Contract,No
AIJOB00100,AI Platform Engineer,IBM Watson,Media,"Berlin, Germany",Germany,On-site,Entry (0-2 yrs),67044,"Rust, GCP Vertex AI, Weaviate, Azure ML, FastAPI",Grok,Master's,2024-07-20,485,169,Yes,0,201-1000,Contract,No
AIJOB00101,AI Research Scientist,IBM Watson,Energy,"Austin, TX",TX,On-site,Mid (2-5 yrs),81975,"RAG, SQL, Weights & Biases, C++",Falcon,Master's,2024-06-12,1527,1955,No,2,201-1000,Full-time,Yes
AIJOB00102,AI Ethics Researcher,Accenture AI,Media,"San Francisco, CA",CA,Hybrid,Senior (5-8 yrs),138642,"ChromaDB, Kubernetes, Weights & Biases, PyTorch, JAX, Vector Databases, Hugging Face Transformers",Grok,Bachelor's,2024-05-15,1292,139,No,4,1-50,Full-time,Yes
AIJOB00103,AI Ethics Researcher,Salesforce Einstein,Government,"Los Angeles, CA",CA,Hybrid,Mid (2-5 yrs),103214,"FastAPI, SQL, Vector Databases, Weights & Biases, Rust, PyTorch, MLflow",Llama,Bootcamp/Self-taught,2024-07-29,2259,2162,No,2,51-200,Full-time,No
AIJOB00104,RAG Engineer,Cohere,Automotive,"Amsterdam, Netherlands",Netherlands,Hybrid,Senior (5-8 yrs),128338,"Docker, Weaviate, AWS SageMaker, Kubernetes",None,PhD,2024-04-08,2302,1308,No,4,5000+,Part-time,No
